"","kingdom","phylum","class","order","family","genus","species","acceptedUsageKey","scientificName"
"1","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter brevipes",2480578,"Accipiter brevipes (Severtzov, 1850)"
"2","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus melanopogon",2493124,"Acrocephalus melanopogon (Temminck, 1823)"
"3","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus paludicola",2493114,"Acrocephalus paludicola (Vieillot, 1817)"
"4","Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius","Aegolius funereus",5739298,"Aegolius funereus (Linnaeus, 1758)"
"5","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aegypius","Aegypius monachus",5229165,"Aegypius monachus (Linnaeus, 1766)"
"6","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Alcedo","Alcedo atthis",2475532,"Alcedo atthis (Linnaeus, 1758)"
"7","Animalia","Chordata","Aves","Galliformes","Phasianidae","Alectoris","Alectoris barbara",2474045,"Alectoris barbara (Bonnaterre, 1790)"
"8","Animalia","Chordata","Aves","Galliformes","Phasianidae","Alectoris","Alectoris graeca",2474055,"Alectoris graeca (Meisner, 1804)"
"9","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser erythropus",2498026,"Anser erythropus (Linnaeus, 1758)"
"10","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus","Anthus campestris",2490274,"Anthus campestris (Linnaeus, 1758)"
"11","Animalia","Chordata","Aves","Apodiformes","Apodidae","Apus","Apus caffer",5228644,"Apus caffer (M.H.K.Lichtenstein, 1823)"
"12","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila adalberti",2480510,"Aquila adalberti C.L.Brehm, 1861"
"13","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila chrysaetos",2480506,"Aquila chrysaetos (Linnaeus, 1758)"
"14","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila clanga",2480509,"Aquila clanga Pallas, 1811"
"15","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila heliaca",2480500,"Aquila heliaca Savigny, 1809"
"16","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila pomarina",2480505,"Aquila pomarina C.L.Brehm, 1831"
"17","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea",2480934,"Ardea purpurea Linnaeus, 1766"
"18","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardeola","Ardeola ralloides",2480906,"Ardeola ralloides (Scopoli, 1769)"
"19","Animalia","Chordata","Aves","Strigiformes","Strigidae","Asio","Asio flammeus",2497295,"Asio flammeus (Pontoppidan, 1763)"
"20","Animalia","Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya nyroca",2498259,"Aythya nyroca (Güldenstädt, 1770)"
"21","Animalia","Chordata","Aves","Galliformes","Phasianidae","Tetrastes","Tetrastes bonasia",2473663,"Bonasa bonasia (Linnaeus, 1758)"
"22","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Botaurus","Botaurus stellaris",2480910,"Botaurus stellaris (Linnaeus, 1758)"
"23","Animalia","Chordata","Aves","Anseriformes","Anatidae","Branta","Branta leucopsis",5232464,"Branta leucopsis (Bechstein, 1803)"
"24","Animalia","Chordata","Aves","Anseriformes","Anatidae","Branta","Branta ruficollis",5232451,"Branta ruficollis (Pallas, 1769)"
"25","Animalia","Chordata","Aves","Strigiformes","Strigidae","Bubo","Bubo bubo",5959092,"Bubo bubo (Linnaeus, 1758)"
"26","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Bucanetes","Bucanetes githagineus",2494394,"Bucanetes githagineus (M.H.K.Lichtenstein, 1823)"
"27","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Bulweria","Bulweria bulwerii",2481606,"Bulweria bulwerii (Jardine & Selby, 1828)"
"28","Animalia","Chordata","Aves","Charadriiformes","Burhinidae","Burhinus","Burhinus oedicnemus",2482100,"Burhinus oedicnemus (Linnaeus, 1758)"
"29","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo rufinus",2480564,"Buteo rufinus (Cretzschmar, 1829)"
"30","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Calandrella","Calandrella brachydactyla",2490681,"Calandrella brachydactyla (Leisler, 1814)"
"31","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Calonectris","Calonectris diomedea",2481521,"Calonectris diomedea (Scopoli, 1769)"
"32","Animalia","Chordata","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus europaeus",8109681,"Caprimulgus europaeus Linnaeus, 1758"
"33","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius alexandrinus",2480311,"Charadrius alexandrinus Linnaeus, 1758"
"34","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius morinellus",2480281,"Charadrius morinellus morinellus"
"35","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Chersophilus","Chersophilus duponti",2490674,"Chersophilus duponti (Vieillot, 1824)"
"36","Animalia","Chordata","Aves","Otidiformes","Otididae","Chlamydotis","Chlamydotis undulata",2474864,"Chlamydotis undulata (Jacquin, 1784)"
"37","Animalia","Chordata","Aves","Charadriiformes","Laridae","Chlidonias","Chlidonias hybrida",2481121,"Chlidonias hybrida (Pallas, 1811)"
"38","Animalia","Chordata","Aves","Charadriiformes","Laridae","Chlidonias","Chlidonias niger",2481119,"Chlidonias niger (Linnaeus, 1758)"
"39","Animalia","Chordata","Aves","Ciconiiformes","Ciconiidae","Ciconia","Ciconia ciconia",2481912,"Ciconia ciconia (Linnaeus, 1758)"
"40","Animalia","Chordata","Aves","Ciconiiformes","Ciconiidae","Ciconia","Ciconia nigra",2481909,"Ciconia nigra (Linnaeus, 1758)"
"41","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circaetus","Circaetus gallicus",2480666,"Circaetus gallicus (Gmelin, 1788)"
"42","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus aeruginosus",2480482,"Circus aeruginosus (Linnaeus, 1758)"
"43","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus cyaneus",2480487,"Circus cyaneus (Linnaeus, 1766)"
"44","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus macrourus",2480491,"Circus macrourus (S.G.Gmelin, 1770)"
"45","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus pygargus",2480495,"Circus pygargus (Linnaeus, 1758)"
"46","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba trocaz",2495406,"Columba trocaz Heineken, 1829"
"47","Animalia","Chordata","Aves","Coraciiformes","Coraciidae","Coracias","Coracias garrulus",2475365,"Coracias garrulus Linnaeus, 1758"
