kingdom,phylum,class,order,family,genus,species
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter brevipes
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus melanopogon
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus paludicola
Animalia,Chordata,Aves,Strigiformes,Strigidae,Aegolius,Aegolius funereus
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aegypius,Aegypius monachus
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Alcedo,Alcedo atthis
Animalia,Chordata,Aves,Galliformes,Phasianidae,Alectoris,Alectoris barbara
Animalia,Chordata,Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser erythropus
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus campestris
Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus,Apus caffer
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila adalberti
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila chrysaetos
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila clanga
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila heliaca
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila pomarina
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea purpurea
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardeola,Ardeola ralloides
Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya nyroca
Animalia,Chordata,Aves,Galliformes,Phasianidae,Tetrastes,Tetrastes bonasia
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,Botaurus stellaris
Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,Branta leucopsis
Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,Branta ruficollis
Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,Bubo bubo
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Bucanetes,Bucanetes githagineus
Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Bulweria,Bulweria bulwerii
Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Burhinus,Burhinus oedicnemus
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo rufinus
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Calandrella,Calandrella brachydactyla
Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Calonectris,Calonectris diomedea
Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,Caprimulgus europaeus
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius alexandrinus
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius morinellus
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Chersophilus,Chersophilus duponti
Animalia,Chordata,Aves,Otidiformes,Otididae,Chlamydotis,Chlamydotis undulata
Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias,Chlidonias hybrida
Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias,Chlidonias niger
Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,Ciconia ciconia
Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,Ciconia nigra
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circaetus,Circaetus gallicus
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,Circus aeruginosus
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,Circus cyaneus
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,Circus macrourus
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,Circus pygargus
Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba trocaz
Animalia,Chordata,Aves,Coraciiformes,Coraciidae,Coracias,Coracias garrulus
Animalia,Chordata,Aves,Gruiformes,Rallidae,Crex,Crex crex
Animalia,Chordata,Aves,Charadriiformes,Glareolidae,Cursorius,Cursorius cursor
Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus columbianus
Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus cygnus
Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,Dendrocopos leucotos
Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocoptes,Dendrocoptes medius
Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,Dendrocopos syriacus
Animalia,Chordata,Aves,Piciformes,Picidae,Dryocopus,Dryocopus martius
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta garzetta
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,Elanus caeruleus
Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza caesia
Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza cineracea
Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza hortulana
Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco biarmicus
Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco cherrug
Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco columbarius
Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco eleonorae
Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco naumanni
Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco peregrinus
Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco rusticolus
Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco vespertinus
Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,Ficedula albicollis
Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,Ficedula parva
Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,Ficedula semitorquata
Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,Fulica cristata
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Galerida,Galerida theklae
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago,Gallinago media
Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,Gavia arctica
Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,Gavia immer
Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,Gavia stellata
Animalia,Chordata,Aves,Charadriiformes,Glareolidae,Glareola,Glareola pratincola
Animalia,Chordata,Aves,Strigiformes,Strigidae,Glaucidium,Glaucidium passerinum
Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,Grus grus
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gypaetus,Gypaetus barbatus
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,Gyps fulvus
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus albicilla
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila fasciata
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,Hieraaetus pennatus
Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,Himantopus himantopus
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Hippolais,Hippolais olivetorum
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus spinosus
Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Hydrobates,Hydrobates pelagicus
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus,Ixobrychus minutus
Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius collurio
Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius minor
Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius nubicus
Animalia,Chordata,Aves,Charadriiformes,Laridae,Ichthyaetus,Ichthyaetus audouinii
Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,Chroicocephalus genei
Animalia,Chordata,Aves,Charadriiformes,Laridae,Ichthyaetus,Ichthyaetus melanocephalus
Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydrocoloeus,Hydrocoloeus minutus
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,Limosa lapponica
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,Loxia scotica
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Lullula,Lullula arborea
Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Luscinia,Luscinia svecica
Animalia,Chordata,Aves,Anseriformes,Anatidae,Marmaronetta,Marmaronetta angustirostris
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Melanocorypha,Melanocorypha calandra
Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergellus,Mergellus albellus
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus migrans
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus milvus
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Neophron,Neophron percnopterus
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius tenuirostris
Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,Bubo scandiacus
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,Nycticorax nycticorax
Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,Oceanodroma castro
Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,Oceanodroma leucorhoa
Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe,Oenanthe cypriaca
Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe,Oenanthe leucura
Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe,Oenanthe pleschanka
Animalia,Chordata,Aves,Otidiformes,Otididae,Otis,Otis tarda
Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,Oxyura leucocephala
Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Pandion,Pandion haliaetus
Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Pelagodroma,Pelagodroma marina
Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus crispus
Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus onocrotalus
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pernis,Pernis apivorus
Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Microcarbo,Microcarbo pygmeus
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Phalaropus,Phalaropus lobatus
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris pugnax
Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,Phoenicopterus ruber
