"occurrenceId","verbatimScientificName","scientificName","key","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species","canonicalName","authorship","usageKey","acceptedUsageKey"
NA,"Accipiter brevipes","Accipiter brevipes (Severtzov, 1850)",2480578,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter brevipes","Accipiter brevipes","(Severtzov, 1850) ",2480578,2480578
NA,"Accipiter gentilis arrigonii","Accipiter gentilis arrigonii (O.Kleinschmidt, 1903)",4408405,"EXACT",98,"ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter gentilis","Accipiter gentilis arrigonii","(O.Kleinschmidt, 1903) ",4408405,4408405
NA,"Accipiter nisus granti","Accipiter nisus granti Sharpe, 1890",4408410,"EXACT",98,"ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","Accipiter nisus granti","Sharpe, 1890",4408410,4408410
NA,"Acrocephalus melanopogon","Acrocephalus melanopogon (Temminck, 1823)",2493124,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus melanopogon","Acrocephalus melanopogon","(Temminck, 1823) ",2493124,2493124
NA,"Acrocephalus paludicola","Acrocephalus paludicola (Vieillot, 1817)",2493114,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus paludicola","Acrocephalus paludicola","(Vieillot, 1817) ",2493114,2493114
NA,"Aegolius funereus","Aegolius funereus (Linnaeus, 1758)",5739298,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius","Aegolius funereus","Aegolius funereus","(Linnaeus, 1758) ",5739298,5739298
NA,"Aegypius monachus","Aegypius monachus (Linnaeus, 1766)",5229165,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aegypius","Aegypius monachus","Aegypius monachus","(Linnaeus, 1766) ",5229165,5229165
NA,"Alcedo atthis","Alcedo atthis (Linnaeus, 1758)",2475532,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Alcedo","Alcedo atthis","Alcedo atthis","(Linnaeus, 1758) ",2475532,2475532
NA,"Alectoris barbara","Alectoris barbara (Bonnaterre, 1790)",2474045,"EXACT",98,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Alectoris","Alectoris barbara","Alectoris barbara","(Bonnaterre, 1790) ",2474045,2474045
NA,"Alectoris graeca","Alectoris graeca (Meisner, 1804)",2474055,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Alectoris","Alectoris graeca","Alectoris graeca","(Meisner, 1804) ",2474055,2474055
NA,"Anser albifrons flavirostris","Anser albifrons flavirostris Dalgety & P.Scott, 1948",6178325,"EXACT",98,"ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser albifrons","Anser albifrons flavirostris","Dalgety & P.Scott, 1948",6178325,6178325
NA,"Anser erythropus","Anser erythropus (Linnaeus, 1758)",2498026,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser erythropus","Anser erythropus","(Linnaeus, 1758) ",2498026,2498026
NA,"Anthus campestris","Anthus campestris (Linnaeus, 1758)",2490274,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus","Anthus campestris","Anthus campestris","(Linnaeus, 1758) ",2490274,2490274
NA,"Apus caffer","Apus caffer (M.H.K.Lichtenstein, 1823)",5228644,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Apodiformes","Apodidae","Apus","Apus caffer","Apus caffer","(M.H.K.Lichtenstein, 1823) ",5228644,5228644
NA,"Aquila adalberti","Aquila adalberti C.L.Brehm, 1861",2480510,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila adalberti","Aquila adalberti","C.L.Brehm, 1861",2480510,2480510
NA,"Aquila chrysaetos","Aquila chrysaetos (Linnaeus, 1758)",2480506,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila chrysaetos","Aquila chrysaetos","(Linnaeus, 1758) ",2480506,2480506
NA,"Aquila clanga","Aquila clanga Pallas, 1811",2480509,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila clanga","Aquila clanga","Pallas, 1811",2480509,2480509
NA,"Aquila heliaca","Aquila heliaca Savigny, 1809",2480500,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila heliaca","Aquila heliaca","Savigny, 1809",2480500,2480500
