,occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
1,NA,Accipiter gentilis arrigonii,Accipiter gentilis arrigonii (O.Kleinschmidt, 1903),4408405,EXACT,98,ACCEPTED,SUBSPECIES,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter gentilis,Accipiter gentilis arrigonii,(O.Kleinschmidt, 1903) ,4408405,4408405
2,NA,Accipiter nisus granti,Accipiter nisus granti Sharpe, 1890,4408410,EXACT,98,ACCEPTED,SUBSPECIES,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter nisus,Accipiter nisus granti,Sharpe, 1890,4408410,4408410
3,NA,Anser albifrons flavirostris,Anser albifrons flavirostris Dalgety & P.Scott, 1948,6178325,EXACT,98,ACCEPTED,SUBSPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser albifrons,Anser albifrons flavirostris,Dalgety & P.Scott, 1948,6178325,6178325
4,NA,Calidris alpina schinzii,Calidris alpina schinzii (C.L.Brehm & Schilling, 1822),6177960,EXACT,98,ACCEPTED,SUBSPECIES,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris alpina,Calidris alpina schinzii,(C.L.Brehm & Schilling, 1822) ,6177960,6177960
5,NA,Certhia brachydactyla dorotheae,Certhia brachydactyla dorotheae Hartert, 1904,4408795,EXACT,98,ACCEPTED,SUBSPECIES,Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia,Certhia brachydactyla,Certhia brachydactyla dorotheae,Hartert, 1904,4408795,4408795
6,NA,Columba bollii,Columba bollii Godman, 1872,2495427,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba bollii,Columba bollii,Godman, 1872,2495427,2495427
7,NA,Columba junoniae,Columba junoniae Hartert, 1916,2495434,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba junoniae,Columba junoniae,Hartert, 1916,2495434,2495434
8,NA,Columba palumbus azorica,Columba palumbus azorica Hartert, 1905,2495459,EXACT,98,ACCEPTED,SUBSPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba palumbus,Columba palumbus azorica,Hartert, 1905,2495459,2495459
9,NA,Dendrocopos major canariensis,Dendrocopos major canariensis (A.F.Koenig, 1889),6177296,EXACT,98,ACCEPTED,SUBSPECIES,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,Dendrocopos major,Dendrocopos major canariensis,(A.F.Koenig, 1889) ,6177296,6177296
10,NA,Dendrocopos major thanneri,Dendrocopos major thanneri le Roi, 1911,6177279,EXACT,98,ACCEPTED,SUBSPECIES,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,Dendrocopos major,Dendrocopos major thanneri,le Roi, 1911,6177279,6177279
