"","kingdom","phylum","class","order","family","genus","species"
"1","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia saligna"
"2","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Acridotheres","Acridotheres tristis"
"3","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Simaroubaceae","Ailanthus","Ailanthus altissima"
"4","Animalia","Chordata","Aves","Anseriformes","Anatidae","Alopochen","Alopochen aegyptiaca"
"5","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera philoxeroides"
"6","Animalia","Chordata","","Siluriformes","Ictaluridae","Ameiurus","Ameiurus melas"
"7","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Andropogon","Andropogon virginicus"
"8","Animalia","Platyhelminthes","","Tricladida","Geoplanidae","Arthurdendyus","Arthurdendyus triangulatus"
"9","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias","Asclepias syriaca"
"10","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Axis","Axis axis"
"11","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis","Baccharis halimifolia"
"12","Plantae","Tracheophyta","Magnoliopsida","Nymphaeales","Cabombaceae","Cabomba","Cabomba caroliniana"
"13","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Callosciurus","Callosciurus erythraeus"
"14","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Callosciurus","Callosciurus finlaysonii"
"15","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Cardiospermum","Cardiospermum grandiflorum"
"16","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cenchrus","Cenchrus setaceus"
"17","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus splendens"
"18","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Ehrharta","Ehrharta calycina"
"19","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","Elodea","Elodea nuttallii"
"20","Animalia","Arthropoda","Malacostraca","Decapoda","Varunidae","Eriocheir","Eriocheir sinensis"
"21","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Faxonius","Faxonius limosus"
"22","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Faxonius","Faxonius rusticus"
"23","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Faxonius","Faxonius virilis"
