occurrenceId,verbatimScientificName_(GRA),scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species_(GBIF),canonicalName,authorship,usageKey,acceptedUsageKey
,Ablepharus bivittatus,"Ablepharus bivittatus (Menetries, 1832)",2461305,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus bivittatus,Ablepharus bivittatus,"(Menetries, 1832) ",2461305,
,Ablepharus budaki,"Ablepharus budaki Göcmen, Kumlutas & Tosunoglu, 1996",8011236,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus budaki,Ablepharus budaki,"Göcmen, Kumlutas & Tosunoglu, 1996",8011236,
,Ablepharus chernovi,"Ablepharus chernovi Darevsky, 1953",2461286,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus chernovi,Ablepharus chernovi,"Darevsky, 1953",2461286,
,Ablepharus darvazi,"Ablepharus darvazi Eremchenko & Panfilov, 1990",2461285,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus darvazi,Ablepharus darvazi,"Eremchenko & Panfilov, 1990",2461285,
,Ablepharus deserti,"Ablepharus deserti Strauch, 1868",2461274,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus deserti,Ablepharus deserti,"Strauch, 1868",2461274,
,Ablepharus grayanus,"Ablepharus grayanus (Stoliczka, 1872)",2461272,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus grayanus,Ablepharus grayanus,"(Stoliczka, 1872) ",2461272,
,Ablepharus kitaibelii,"Ablepharus kitaibelii Bibron & Bory St-Vincent, 1833",8120403,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus kitaibelii,Ablepharus kitaibelii,"Bibron & Bory St-Vincent, 1833",8120403,
,Ablepharus lindbergi,"Ablepharus lindbergi Wettstein, 1960",9611899,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus lindbergi,Ablepharus lindbergi,"Wettstein, 1960",9611899,
,Ablepharus pannonicus,"Ablepharus pannonicus (Lichtenstein, 1823)",9623013,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus pannonicus,Ablepharus pannonicus,"(Lichtenstein, 1823) ",9623013,
,Ablepharus rueppellii,"Ablepharus rueppellii (Gray, 1839)",2461304,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Scincidae,Ablepharus,Ablepharus rueppellii,Ablepharus rueppellii,"(Gray, 1839) ",2461304,
,Abronia anzuetoi,"Abronia anzuetoi Campbell & Frost, 1993",5226612,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia anzuetoi,Abronia anzuetoi,"Campbell & Frost, 1993",5226612,
,Abronia aurita,"Abronia aurita (Cope, 1869)",2468141,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia aurita,Abronia aurita,"(Cope, 1869) ",2468141,
,Abronia bogerti,"Abronia bogerti Tihen, 1954",5226602,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia bogerti,Abronia bogerti,"Tihen, 1954",5226602,
,Abronia campbelli,"Abronia campbelli Brodie & Savage, 1993",5226596,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia campbelli,Abronia campbelli,"Brodie & Savage, 1993",5226596,
,Abronia chiszari,"Abronia chiszari Smith & Smith, 1981",5226594,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia chiszari,Abronia chiszari,"Smith & Smith, 1981",5226594,
,Abronia deppii,"Abronia deppii (Wiegmann, 1828)",5226613,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia deppii,Abronia deppii,"(Wiegmann, 1828) ",5226613,
,Abronia fimbriata,"Abronia fimbriata (Cope, 1885)",5226592,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia fimbriata,Abronia fimbriata,"(Cope, 1885) ",5226592,
,Abronia frosti,"Abronia frosti Campbell, Sasa, Acevedo & Mendelson, 1998",5226615,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia frosti,Abronia frosti,"Campbell, Sasa, Acevedo & Mendelson, 1998",5226615,
,Abronia fuscolabialis,"Abronia fuscolabialis (Tihen, 1944)",5226616,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia fuscolabialis,Abronia fuscolabialis,"(Tihen, 1944) ",5226616,
,Abronia gaiophantasma,"Abronia gaiophantasma Campbell & Frost, 1993",5226610,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia gaiophantasma,Abronia gaiophantasma,"Campbell & Frost, 1993",5226610,
,Abronia graminea,"Abronia graminea (Cope, 1864)",5226604,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,Abronia graminea,"(Cope, 1864) ",5226604,
,Abronia leurolepis,"Abronia leurolepis Campbell & Frost, 1993",5226598,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia leurolepis,Abronia leurolepis,"Campbell & Frost, 1993",5226598,
,Abronia lythrochila,"Abronia lythrochila Smith & Alvarez Del Toro, 1963",5226588,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia lythrochila,Abronia lythrochila,"Smith & Alvarez Del Toro, 1963",5226588,
,Abronia martindelcampoi,"Abronia martindelcampoi Flores-Villela & Sánchez-H., 2003",5226618,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia martindelcampoi,Abronia martindelcampoi,"Flores-Villela & Sánchez-H., 2003",5226618,
,Abronia matudai,"Abronia matudai (Hartweg & Tihen, 1946)",5226607,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia matudai,Abronia matudai,"(Hartweg & Tihen, 1946) ",5226607,
,Abronia meledona,"Abronia meledona Campbell & Brodie, 1999",5226600,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia meledona,Abronia meledona,"Campbell & Brodie, 1999",5226600,
,Abronia mitchelli,"Abronia mitchelli Campbell, 1982",5226590,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia mitchelli,Abronia mitchelli,"Campbell, 1982",5226590,
,Abronia mixteca,"Abronia mixteca Bogert & Porter, 1967",5226611,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia mixteca,Abronia mixteca,"Bogert & Porter, 1967",5226611,
,Abronia montecristoi,"Abronia montecristoi Hidalgo, 1983",5226601,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia montecristoi,Abronia montecristoi,"Hidalgo, 1983",5226601,
,Abronia oaxacae,"Abronia oaxacae (Günther, 1885)",5226593,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia oaxacae,Abronia oaxacae,"(Günther, 1885) ",5226593,
,Abronia ochoterenai,"Abronia ochoterenai (Martin Del Campo, 1939)",8409229,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia ochoterenai,Abronia ochoterenai,"(Martin Del Campo, 1939) ",8409229,
,Abronia ornelasi,"Abronia ornelasi Campbell, 1984",5226595,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia ornelasi,Abronia ornelasi,"Campbell, 1984",5226595,
,Abronia ramirezi,"Abronia ramirezi Campbell, 1994",5226597,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia ramirezi,Abronia ramirezi,"Campbell, 1994",5226597,
,Abronia reidi,"Abronia reidi Werler & Shannon, 1961",5226606,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia reidi,Abronia reidi,"Werler & Shannon, 1961",5226606,
,Abronia salvadorensis,"Abronia salvadorensis Hidalgo, 1983",5226599,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia salvadorensis,Abronia salvadorensis,"Hidalgo, 1983",5226599,
,Abronia smithi,"Abronia smithi Campbell & Frost, 1993",5226589,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia smithi,Abronia smithi,"Campbell & Frost, 1993",5226589,
,Abronia taeniata,"Abronia taeniata (Wiegmann, 1828)",9120742,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia taeniata,Abronia taeniata,"(Wiegmann, 1828) ",9120742,
