"","occurrenceId","verbatimScientificName_.GRA.","scientificName","key","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species_.GBIF.","canonicalName","authorship","usageKey","acceptedUsageKey"
"1",NA,"Ablepharus bivittatus","Ablepharus bivittatus (Menetries, 1832)",2461305,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus bivittatus","Ablepharus bivittatus","(Menetries, 1832) ",2461305,2461305
"2",NA,"Ablepharus budaki","Ablepharus budaki Göcmen, Kumlutas & Tosunoglu, 1996",8011236,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus budaki","Ablepharus budaki","Göcmen, Kumlutas & Tosunoglu, 1996",8011236,8011236
"3",NA,"Ablepharus chernovi","Ablepharus chernovi Darevsky, 1953",2461286,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus chernovi","Ablepharus chernovi","Darevsky, 1953",2461286,2461286
"4",NA,"Ablepharus darvazi","Ablepharus darvazi Eremchenko & Panfilov, 1990",2461285,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus darvazi","Ablepharus darvazi","Eremchenko & Panfilov, 1990",2461285,2461285
"5",NA,"Ablepharus deserti","Ablepharus deserti Strauch, 1868",2461274,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus deserti","Ablepharus deserti","Strauch, 1868",2461274,2461274
"6",NA,"Ablepharus grayanus","Ablepharus grayanus (Stoliczka, 1872)",2461272,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus grayanus","Ablepharus grayanus","(Stoliczka, 1872) ",2461272,2461272
"7",NA,"Ablepharus kitaibelii","Ablepharus kitaibelii Bibron & Bory St-Vincent, 1833",8120403,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus kitaibelii","Ablepharus kitaibelii","Bibron & Bory St-Vincent, 1833",8120403,8120403
"8",NA,"Ablepharus lindbergi","Ablepharus lindbergi Wettstein, 1960",9611899,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus lindbergi","Ablepharus lindbergi","Wettstein, 1960",9611899,9611899
"9",NA,"Ablepharus pannonicus","Ablepharus pannonicus (Lichtenstein, 1823)",9623013,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus pannonicus","Ablepharus pannonicus","(Lichtenstein, 1823) ",9623013,9623013
"10",NA,"Ablepharus rueppellii","Ablepharus rueppellii (Gray, 1839)",2461304,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Scincidae","Ablepharus","Ablepharus rueppellii","Ablepharus rueppellii","(Gray, 1839) ",2461304,2461304
"11",NA,"Abronia anzuetoi","Abronia anzuetoi Campbell & Frost, 1993",5226612,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia anzuetoi","Abronia anzuetoi","Campbell & Frost, 1993",5226612,5226612
"12",NA,"Abronia aurita","Abronia aurita (Cope, 1869)",2468141,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia aurita","Abronia aurita","(Cope, 1869) ",2468141,2468141
"13",NA,"Abronia bogerti","Abronia bogerti Tihen, 1954",5226602,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia bogerti","Abronia bogerti","Tihen, 1954",5226602,5226602
"14",NA,"Abronia campbelli","Abronia campbelli Brodie & Savage, 1993",5226596,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia campbelli","Abronia campbelli","Brodie & Savage, 1993",5226596,5226596
"15",NA,"Abronia chiszari","Abronia chiszari Smith & Smith, 1981",5226594,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia chiszari","Abronia chiszari","Smith & Smith, 1981",5226594,5226594
"16",NA,"Abronia deppii","Abronia deppii (Wiegmann, 1828)",5226613,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia deppii","Abronia deppii","(Wiegmann, 1828) ",5226613,5226613
"17",NA,"Abronia fimbriata","Abronia fimbriata (Cope, 1885)",5226592,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia fimbriata","Abronia fimbriata","(Cope, 1885) ",5226592,5226592
"18",NA,"Abronia frosti","Abronia frosti Campbell, Sasa, Acevedo & Mendelson, 1998",5226615,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia frosti","Abronia frosti","Campbell, Sasa, Acevedo & Mendelson, 1998",5226615,5226615
"19",NA,"Abronia fuscolabialis","Abronia fuscolabialis (Tihen, 1944)",5226616,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia fuscolabialis","Abronia fuscolabialis","(Tihen, 1944) ",5226616,5226616
"20",NA,"Abronia gaiophantasma","Abronia gaiophantasma Campbell & Frost, 1993",5226610,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia gaiophantasma","Abronia gaiophantasma","Campbell & Frost, 1993",5226610,5226610
"21",NA,"Abronia graminea","Abronia graminea (Cope, 1864)",5226604,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia graminea","Abronia graminea","(Cope, 1864) ",5226604,5226604
"22",NA,"Abronia leurolepis","Abronia leurolepis Campbell & Frost, 1993",5226598,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia leurolepis","Abronia leurolepis","Campbell & Frost, 1993",5226598,5226598
"23",NA,"Abronia lythrochila","Abronia lythrochila Smith & Alvarez Del Toro, 1963",5226588,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia lythrochila","Abronia lythrochila","Smith & Alvarez Del Toro, 1963",5226588,5226588
"24",NA,"Abronia martindelcampoi","Abronia martindelcampoi Flores-Villela & Sánchez-H., 2003",5226618,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia martindelcampoi","Abronia martindelcampoi","Flores-Villela & Sánchez-H., 2003",5226618,5226618
"25",NA,"Abronia matudai","Abronia matudai (Hartweg & Tihen, 1946)",5226607,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia matudai","Abronia matudai","(Hartweg & Tihen, 1946) ",5226607,5226607
"26",NA,"Abronia meledona","Abronia meledona Campbell & Brodie, 1999",5226600,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia meledona","Abronia meledona","Campbell & Brodie, 1999",5226600,5226600
"27",NA,"Abronia mitchelli","Abronia mitchelli Campbell, 1982",5226590,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia mitchelli","Abronia mitchelli","Campbell, 1982",5226590,5226590
"28",NA,"Abronia mixteca","Abronia mixteca Bogert & Porter, 1967",5226611,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia mixteca","Abronia mixteca","Bogert & Porter, 1967",5226611,5226611
"29",NA,"Abronia montecristoi","Abronia montecristoi Hidalgo, 1983",5226601,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia montecristoi","Abronia montecristoi","Hidalgo, 1983",5226601,5226601
"30",NA,"Abronia oaxacae","Abronia oaxacae (Günther, 1885)",5226593,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata",NA,"Anguidae","Abronia","Abronia oaxacae","Abronia oaxacae","(Günther, 1885) ",5226593,5226593
