"","eeacellcode","x","y"
"1","100kmE0N7",50000,750000
"2","100kmE1N7",150000,750000
"3","100kmE2N7",250000,750000
"4","100kmE3N7",350000,750000
"5","100kmE4N7",450000,750000
"6","100kmE5N7",550000,750000
"7","100kmE6N7",650000,750000
"8","100kmE7N7",750000,750000
"9","100kmE8N7",850000,750000
"10","100kmE9N7",950000,750000
"11","100kmE10N7",1050000,750000
"12","100kmE11N7",1150000,750000
"13","100kmE12N7",1250000,750000
"14","100kmE13N7",1350000,750000
"15","100kmE14N7",1450000,750000
"16","100kmE15N7",1550000,750000
"17","100kmE16N7",1650000,750000
"18","100kmE17N7",1750000,750000
"19","100kmE18N7",1850000,750000
"20","100kmE19N7",1950000,750000
"21","100kmE20N7",2050000,750000
"22","100kmE21N7",2150000,750000
"23","100kmE22N7",2250000,750000
"24","100kmE23N7",2350000,750000
"25","100kmE24N7",2450000,750000
"26","100kmE25N7",2550000,750000
"27","100kmE26N7",2650000,750000
"28","100kmE27N7",2750000,750000
"29","100kmE28N7",2850000,750000
"30","100kmE29N7",2950000,750000
"31","100kmE30N7",3050000,750000
"32","100kmE31N7",3150000,750000
"33","100kmE32N7",3250000,750000
"34","100kmE33N7",3350000,750000
"35","100kmE34N7",3450000,750000
"36","100kmE35N7",3550000,750000
"37","100kmE36N7",3650000,750000
"38","100kmE37N7",3750000,750000
"39","100kmE38N7",3850000,750000
"40","100kmE39N7",3950000,750000
"41","100kmE40N7",4050000,750000
"42","100kmE41N7",4150000,750000
"43","100kmE42N7",4250000,750000
"44","100kmE43N7",4350000,750000
"45","100kmE44N7",4450000,750000
"46","100kmE45N7",4550000,750000
"47","100kmE46N7",4650000,750000
"48","100kmE47N7",4750000,750000
"49","100kmE48N7",4850000,750000
"50","100kmE49N7",4950000,750000
"51","100kmE50N7",5050000,750000
"52","100kmE51N7",5150000,750000
"53","100kmE52N7",5250000,750000
"54","100kmE53N7",5350000,750000
"55","100kmE54N7",5450000,750000
"56","100kmE55N7",5550000,750000
"57","100kmE56N7",5650000,750000
"58","100kmE57N7",5750000,750000
"59","100kmE58N7",5850000,750000
"60","100kmE59N7",5950000,750000
"61","100kmE60N7",6050000,750000
"62","100kmE61N7",6150000,750000
"63","100kmE62N7",6250000,750000
"64","100kmE63N7",6350000,750000
"65","100kmE64N7",6450000,750000
"66","100kmE65N7",6550000,750000
"67","100kmE66N7",6650000,750000
"68","100kmE67N7",6750000,750000
"69","100kmE68N7",6850000,750000
"70","100kmE69N7",6950000,750000
"71","100kmE70N7",7050000,750000
"72","100kmE71N7",7150000,750000
"73","100kmE72N7",7250000,750000
"74","100kmE73N7",7350000,750000
"75","100kmE74N7",7450000,750000
"76","100kmE75N7",7550000,750000
"77","100kmE76N7",7650000,750000
"78","100kmE77N7",7750000,750000
"79","100kmE78N7",7850000,750000
"80","100kmE79N7",7950000,750000
"81","100kmE80N7",8050000,750000
"82","100kmE81N7",8150000,750000
"83","100kmE82N7",8250000,750000
"84","100kmE83N7",8350000,750000
"85","100kmE0N8",50000,850000
"86","100kmE1N8",150000,850000
"87","100kmE2N8",250000,850000
"88","100kmE3N8",350000,850000
"89","100kmE4N8",450000,850000
"90","100kmE5N8",550000,850000
"91","100kmE6N8",650000,850000
"92","100kmE7N8",750000,850000
"93","100kmE8N8",850000,850000
"94","100kmE9N8",950000,850000
"95","100kmE10N8",1050000,850000
"96","100kmE11N8",1150000,850000
"97","100kmE12N8",1250000,850000
"98","100kmE13N8",1350000,850000
"99","100kmE14N8",1450000,850000
"100","100kmE15N8",1550000,850000
"101","100kmE16N8",1650000,850000
"102","100kmE17N8",1750000,850000
"103","100kmE18N8",1850000,850000
"104","100kmE19N8",1950000,850000
"105","100kmE20N8",2050000,850000
"106","100kmE21N8",2150000,850000
"107","100kmE22N8",2250000,850000
"108","100kmE23N8",2350000,850000
"109","100kmE24N8",2450000,850000
"110","100kmE25N8",2550000,850000
"111","100kmE26N8",2650000,850000
"112","100kmE27N8",2750000,850000
"113","100kmE28N8",2850000,850000
"114","100kmE29N8",2950000,850000
"115","100kmE30N8",3050000,850000
