"","acceptedUsageKey","totalOcc","scientificName","key","kingdom","phylum","class","order","family"
"1",2495406,1,"Columba trocaz Heineken, 1829",2495406,"Animalia","Chordata","Aves","Columbiformes","Columbidae"
"2",2474864,2,"Chlamydotis undulata (Jacquin, 1784)",2474864,"Animalia","Chordata","Aves","Otidiformes","Otididae"
"3",2475001,3,"Turnix sylvaticus (Desfontaines, 1789)",2475001,"Animalia","Chordata","Aves","Charadriiformes","Turnicidae"
"4",2481463,6,"Pterodroma madeira Mathews, 1934",2481463,"Animalia","Chordata","Aves","Procellariiformes","Procellariidae"
"5",2481991,7,"Pelagodroma marina (Latham, 1790)",2481991,"Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae"
"6",2481606,28,"Bulweria bulwerii (Jardine & Selby, 1828)",2481606,"Animalia","Chordata","Aves","Procellariiformes","Procellariidae"
"7",5739275,29,"Puffinus assimilis Gould, 1838",5739275,"Animalia","Chordata","Aves","Procellariiformes","Procellariidae"
"8",2481789,92,"Numenius tenuirostris Vieillot, 1817",2481789,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae"
"9",2481473,120,"Pterodroma feae (Salvadori, 1900)",2481473,"Animalia","Chordata","Aves","Procellariiformes","Procellariidae"
"10",8014966,389,"Falco biarmicus Temminck, 1825",8014966,"Animalia","Chordata","Aves","Falconiformes","Falconidae"
"11",2492953,425,"Sylvia melanothorax Tristram, 1872",2492953,"Animalia","Chordata","Aves","Passeriformes","Sylviidae"
"12",2482001,609,"Oceanodroma castro (Harcourt, 1851)",2482001,"Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae"
"13",2474045,699,"Alectoris barbara (Bonnaterre, 1790)",2474045,"Animalia","Chordata","Aves","Galliformes","Phasianidae"
"14",2480740,755,"Cursorius cursor (Latham, 1787)",2480740,"Animalia","Chordata","Aves","Charadriiformes","Glareolidae"
"15",6066518,823,"Phalacrocorax pygmeus (Pallas, 1773)",2481888,"Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae"
