"","occurrenceId","verbatimScientificName","scientificName","specieskey","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species","canonicalName","authorship","usageKey","acceptedUsageKey"
"1",NA,"Accipiter gentilis arrigonii","Accipiter gentilis arrigonii (O.Kleinschmidt, 1903)",4408405,"EXACT",98,"ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter gentilis","Accipiter gentilis arrigonii","(O.Kleinschmidt, 1903) ",4408405,NA
"2",NA,"Accipiter nisus granti","Accipiter nisus granti Sharpe, 1890",4408410,"EXACT",98,"ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","Accipiter nisus granti","Sharpe, 1890",4408410,NA
"3",NA,"Anser albifrons flavirostris","Anser albifrons flavirostris Dalgety & P.Scott, 1948",6178325,"EXACT",98,"ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser albifrons","Anser albifrons flavirostris","Dalgety & P.Scott, 1948",6178325,NA
"4",NA,"Bonasa bonasia","Bonasa bonasia (Linnaeus, 1758)",2473671,"EXACT",98,"SYNONYM","SPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Tetrastes","Tetrastes bonasia","Bonasa bonasia","(Linnaeus, 1758) ",2473671,2473663
"5",NA,"Calidris alpina schinzii","Calidris alpina schinzii (C.L.Brehm & Schilling, 1822)",6177960,"EXACT",98,"ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alpina","Calidris alpina schinzii","(C.L.Brehm & Schilling, 1822) ",6177960,NA
"6",NA,"Certhia brachydactyla dorotheae","Certhia brachydactyla dorotheae Hartert, 1904",4408795,"EXACT",98,"ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Passeriformes","Certhiidae","Certhia","Certhia brachydactyla","Certhia brachydactyla dorotheae","Hartert, 1904",4408795,NA
"7",NA,"Charadrius morinellus (Eudromias morinellus)","Charadrius morinellus morinellus",10908447,"EXACT",97,"SYNONYM","SUBSPECIES","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius morinellus","Charadrius morinellus morinellus","Aou",10908447,2480281
"8",NA,"Columba palumbus azorica","Columba palumbus azorica Hartert, 1905",2495459,"EXACT",98,"ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","Columba palumbus azorica","Hartert, 1905",2495459,NA
"9",NA,"Cygnus bewickii (Cygnus columbianus bewickii)","Cygnus bewickii Yarrell, 1830",4409105,"HIGHERRANK",98,"SYNONYM","SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus columbianus","Cygnus bewickii","Yarrell, 1830",4409105,6178421
"10",NA,"Dendrocopos major canariensis","Dendrocopos major canariensis (A.F.Koenig, 1889)",6177296,"EXACT",98,"ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Dendrocopos","Dendrocopos major","Dendrocopos major canariensis","(A.F.Koenig, 1889) ",6177296,NA
