,occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
1,NA,Channa argus (Cantor, 1842),Channa argus (Cantor, 1842),4284921,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Channidae,Channa,Channa argus,Channa argus,(Cantor, 1842) ,4284921,4284921
2,NA,Cortaderia selloana subsp. jubata (Lemoine) Testoni & Villamil,Cortaderia jubata (Lemoine) Stapf,9355348,EXACT,100,SYNONYM,SUBSPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cortaderia,Cortaderia jubata,Cortaderia selloana jubata,(Lemoine) Testoni & Villamil,9355348,2704521
3,NA,Limnoperna fortunei (Dunker, 1857),Limnoperna fortunei (Dunker, 1857),5855350,EXACT,99,ACCEPTED,SPECIES,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Limnoperna,Limnoperna fortunei,Limnoperna fortunei,(Dunker, 1857) ,5855350,5855350
4,NA,Morone americana (Gmelin, 1789),Morone americana (Gmelin, 1789),2394604,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Moronidae,Morone,Morone americana,Morone americana,(Gmelin, 1789) ,2394604,2394604
5,NA,Plotosus lineatus (Thunberg, 1787),Plotosus lineatus (Thunberg, 1787),7965247,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Siluriformes,Plotosidae,Plotosus,Plotosus lineatus,Plotosus lineatus,(Thunberg, 1787) ,7965247,7965247
6,NA,Pueraria montana (Lour.) Merr. var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep,Pueraria montana var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep,2977647,EXACT,100,ACCEPTED,VARIETY,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pueraria,Pueraria montana,Pueraria montana lobata,(Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep,2977647,2977647
7,NA,Solenopsis geminata (Fabricius, 1804),Solenopsis geminata (Fabricius, 1804),5035187,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis geminata,Solenopsis geminata,(Fabricius, 1804) ,5035187,5035187
8,NA,Solenopsis richteri Forel, 1909,Solenopsis richteri Forel, 1909,5035017,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis richteri,Solenopsis richteri,Forel, 1909,5035017,5035017
9,NA,Urva auropunctata (Hodgson, 1836),Herpestes javanicus subsp. auropunctatus (Hodgson, 1836),10504616,EXACT,99,SYNONYM,SPECIES,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Herpestes,Herpestes javanicus,Urva auropunctata,(Hodgson, 1836) ,10504616,6164088
10,NA,Vespa velutina nigrithorax du Buysson, 1905,Vespa velutina nigrithorax Buysson, 1905,6247411,EXACT,100,ACCEPTED,SUBSPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa velutina,Vespa velutina nigrithorax,Buysson, 1905,6247411,6247411
