"","specieskey","totalOcc","scientificName","kingdom","phylum","class","order","family"
"12",2475001,3,"Turnix sylvaticus (Desfontaines, 1789)","Animalia","Chordata","Aves","Charadriiformes","Turnicidae"
"70",2481789,77,"Numenius tenuirostris Vieillot, 1817","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae"
"63",2481463,172,"Pterodroma madeira Mathews, 1934","Animalia","Chordata","Aves","Procellariiformes","Procellariidae"
"64",2481473,256,"Pterodroma feae (Salvadori, 1900)","Animalia","Chordata","Aves","Procellariiformes","Procellariidae"
"147",8014966,337,"Falco biarmicus Temminck, 1825","Animalia","Chordata","Aves","Falconiformes","Falconidae"
"100",2492953,523,"Sylvia melanothorax Tristram, 1872","Animalia","Chordata","Aves","Passeriformes","Sylviidae"
"109",2495406,793,"Columba trocaz Heineken, 1829","Animalia","Chordata","Aves","Columbiformes","Columbidae"
"142",5739275,912,"Puffinus assimilis Gould, 1838","Animalia","Chordata","Aves","Procellariiformes","Procellariidae"
"110",2495427,1026,"Columba bollii Godman, 1872","Animalia","Chordata","Aves","Columbiformes","Columbidae"
"77",2481991,1034,"Pelagodroma marina (Latham, 1790)","Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae"
"111",2495434,1111,"Columba junoniae Hartert, 1916","Animalia","Chordata","Aves","Columbiformes","Columbidae"
"90",2491469,1132,"Emberiza cineracea C.L.Brehm, 1855","Animalia","Chordata","Aves","Passeriformes","Emberizidae"
"125",4408970,1242,"Pyrrhula murina Godman, 1866","Animalia","Chordata","Aves","Passeriformes","Fringillidae"
"83",2484880,1257,"Sitta krueperi Pelzeln, 1863","Animalia","Chordata","Aves","Passeriformes","Sittidae"
"105",2493219,1344,"Hippolais olivetorum (Strickland, 1837)","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae"
"9",2474864,1418,"Chlamydotis undulata (Jacquin, 1784)","Animalia","Chordata","Aves","Otidiformes","Otididae"
"57",2481034,1420,"Falco cherrug J.E.Gray, 1834","Animalia","Chordata","Aves","Falconiformes","Falconidae"
