"","family","totalOcc","Order"
"1","Columbidae",1,"Columbiformes"
"2","Turnicidae",3,"Charadriiformes"
"3","Phalacrocoracidae",800,"Suliformes"
"4","Apodidae",3626,"Apodiformes"
"5","Fringillidae",5677,"Passeriformes"
"6","Sittidae",5890,"Passeriformes"
"7","Phoenicopteridae",23312,"Phoenicopteriformes"
"8","Pelecanidae",39968,"Pelecaniformes"
"9","Glareolidae",41512,"Charadriiformes"
"10","Pteroclididae",42850,"Pteroclidiformes"
"11","Hydrobatidae",71429,"Procellariiformes"
"12","Acrocephalidae",71929,"Passeriformes"
"13","Motacillidae",105182,"Passeriformes"
"14","Procellariidae",106948,"Procellariiformes"
"15","Coraciidae",109031,"Coraciiformes"
"16","Emberizidae",114747,"Passeriformes"
"17","Otididae",130199,"Otidiformes"
"18","Burhinidae",135547,"Charadriiformes"
"19","Corvidae",174322,"Passeriformes"
"20","Caprimulgidae",202441,"Caprimulgiformes"
"21","Sylviidae",221093,"Passeriformes"
"22","Phasianidae",246767,"Galliformes"
"23","Podicipedidae",372239,"Podicipediformes"
"24","Rallidae",381298,"Gruiformes"
"25","Strigidae",712580,"Strigiformes"
"26","Pandionidae",782034,"Accipitriformes"
"27","Laniidae",879347,"Passeriformes"
"28","Alaudidae",978849,"Passeriformes"
"29","Muscicapidae",1069960,"Passeriformes"
"30","Threskiornithidae",1101018,"Pelecaniformes"
"31","Charadriidae",1130193,"Charadriiformes"
"32","Gaviidae",1266598,"Gaviiformes"
"33","Recurvirostridae",1339716,"Charadriiformes"
"34","Alcedinidae",1437814,"Coraciiformes"
"35","Ciconiidae",1473952,"Ciconiiformes"
"36","Picidae",1481566,"Piciformes"
"37","Falconidae",1491502,"Falconiformes"
"38","Gruidae",1944703,"Gruiformes"
"39","Ardeidae",2288930,"Pelecaniformes"
"40","Scolopacidae",2575634,"Charadriiformes"
"41","Anatidae",3977639,"Anseriformes"
"42","Laridae",4158938,"Charadriiformes"
"43","Accipitridae",9911562,"Accipitriformes"
