"","specieskey","totalOcc","scientificName","kingdom","phylum","class","order","family"
"58",5289808,1,"Microstegium vimineum (Trin.) A.Camus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae"
"1",1315391,2,"Wasmannia auropunctata (Roger, 1863)","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae"
"60",5358460,2,"Prosopis juliflora (Sw.) DC.","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae"
"71",8114276,2,"Lespedeza cuneata (Dum.Cours.) G.Don","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae"
"75",8979506,2,"Faxonius rusticus (Girard, 1852)","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae"
"77",9799308,3,"Lampropeltis getula (Linnaeus, 1766)","Animalia","Chordata","Squamata","","Colubridae"
"40",3054399,4,"Triadica sebifera (L.) Small","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae"
"27",2650436,6,"Lygodium japonicum (Thunb.) Sw.","Plantae","Tracheophyta","Polypodiopsida","Schizaeales","Lygodiaceae"
"51",5035230,6,"Solenopsis invicta Buren, 1972","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae"
"12",2433536,9,"Nasua nasua (Linnaeus, 1766)","Animalia","Chordata","Mammalia","Carnivora","Procyonidae"
"42",3086784,13,"Parthenium hysterophorus L.","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae"
"68",6063677,17,"Gymnocoronis spilanthoides DC.","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae"
"49",4033648,19,"Persicaria perfoliata (L.) H.Gross","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae"
"15",2437399,24,"Callosciurus finlaysonii (Horsfield, 1823)","Animalia","Chordata","Mammalia","Rodentia","Sciuridae"
"28",2702865,24,"Ehrharta calycina Sm.","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae"
"55",5219683,34,"Sciurus niger Linnaeus, 1758","Animalia","Chordata","Mammalia","Rodentia","Sciuridae"
"17",2440934,57,"Axis axis (Erxleben, 1777)","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae"
"29",2706080,60,"Andropogon virginicus L.","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae"
"45",3189935,110,"Cardiospermum grandiflorum Sw.","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae"
"57",5274863,151,"Salvinia ×molesta D.S.Mitch.","Plantae","Tracheophyta","Polypodiopsida","Salviniales","Salviniaceae"
"76",9442269,185,"Procambarus virginalis Lyko, 2017","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae"
"38",2984537,233,"Humulus scandens (Lour.) Merr.","Plantae","Tracheophyta","Magnoliopsida","Rosales","Cannabaceae"
"66",5824863,267,"Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009","Chromista","Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae"
"22",2486131,322,"Pycnonotus cafer (Linnaeus, 1766)","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae"
"41",3084923,347,"Alternanthera philoxeroides (Mart.) Griseb.","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae"
"69",7287606,614,"Hakea sericea Schrad. & J.C.Wendl.","Plantae","Tracheophyta","Magnoliopsida","Proteales","Proteaceae"
"52",5217334,643,"Xenopus laevis (Daudin, 1802)","Animalia","Chordata","Amphibia","Anura","Pipidae"
"34",2882443,663,"Cabomba caroliniana A.Gray","Plantae","Tracheophyta","Magnoliopsida","Nymphaeales","Cabombaceae"
"74",8971201,705,"Faxonius virilis (Hagen, 1870)","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae"
